,en,fr
0,A man in a black shirt and jeans plays the guitar with his eyes closed.,Un homme en chemise noire et jeans joue la guitare avec ses yeux fermés.
0,Two men at a concert singing.,Deux hommes chantant à un concert.
0,A guy in a black hoodie standing in front of a Factory sign talks into a microphone.,Un gars en chandail noir en face d'un panneau de l'usine parle à un microphone.
0,Two girls and two men playing at the beach.,Deux filles et deux hommes jouant à la plage.
0,A man dressed like Santa is riding in a carriage during a parade.,Un homme vêtu de Père Nol roule dans un chariot pendant un défilé.
0,People go up the escalator.,Les gens montent l'escalier roulant.
0,A chef in a blue shirt smiles in front of a large dish of food while a coworker looks on.,Un chef en chemise bleue sourit devant un grand plat de nourriture tandis qu'un collègue regarde.
0,An older man stands next to a woman who is laughing.,Un homme plus âgé se tient à côté d'une femme qui râle.
0,A man is making some hats out of leaves.,Un homme fait des chapeaux à partir de feuilles.
0,A Concert master receiving standing applause for a great performance.,Un maître de concert reçoit des applaudissements debout pour un grand spectacle.
0,Two young girls with their heads peeking out at the camera from a huge pile of leaves.,Deux jeunes filles à la tête s'éclairant sur la caméra à partir d'un immense tas de feuilles.
0,A child is wearing a red hat shaped like a hand.,Un enfant porte un chapeau rouge en forme de main.
0,A lady standing in the woods raking leaves in front of two parked cars.,Une femme debout dans la forêt rake les feuilles devant deux voitures stationnées.
0,A man in shorts climbs a rock face.,Un homme en shorts grimpe une face rocheuse.
0,A skateboarder makes a high jump.,Un skateboarder fait un saut à haut niveau.
0,A young girl vacuuming while two boys watch her.,Une jeune fille aspirant tandis que deux garçons la regardent.
0,A group of people are congregated in a room by a big round mirror.,Un groupe de personnes se rassemble dans une pièce par un grand miroir rond.
0,Two dogs race across the track.,Deux chiens traversent la piste.
0,Two black-robed young men stand on the steps in front of a building.,Deux jeunes hommes en robe noire se tiennent sur les marches devant un immeuble.
0,Two smiling men with their heads touching,Deux hommes souriants avec la tête touchée
0,3 men in uniforms are preparing food on a large surface.,Trois hommes en uniforme préparent des aliments sur une grande surface.
0,A group of poor African children sitting in a classroom.,Un groupe d'enfants africains pauvres assis dans une classe.
0,A group of black children in white shirts are sitting on some benches.,Un groupe d'enfants noirs en chemises blanches siègent sur des bancs.
0,"People sitting at a table filed with paperwork, having a discussion.","Des gens assis à une table remplie de documents, discutent."
0,A woman in a green hard hat is standing at the bottom of a small staircase with her purse in one hand.,Une femme portant un chapeau dur vert se trouve au bas d'un petit escalier avec son sac à main.
0,A snowboarder is grinding down a long concrete rail.,Un snowboardeur mèche un long rail de béton.
0,A group of more than 8 is speaking into microphones.,Un groupe de plus de 8 personnes parle à l'aide de microphones.
0,A snowboarder jumping off a tall brick building.,Un snowboardeur sautant d'un grand bâtiment en briques.
0,"A man is on stage singing, while the band plays behind him.","Un homme est sur scène chantant, tandis que le groupe joue derrière lui."
0,There is an oriental man climbing up a mountain.,Il y a un homme oriental qui grimpe sur une montagne.
0,A man in a suit looks worried as he walks don the crowded street.,Un homme en costume semble inquiet alors qu'il marche dans la rue surpeuplée.
0,Choir sings at the front of a church.,Le chur chante devant une église.
0,Five people sitting around a table and playing various instruments.,Cinq personnes sont assises autour d'une table et jouent divers instruments.
0,There is a man standing outside a shack with some sort of a primitive looking grill that's smoking.,Il y a un homme à l'extérieur d'une cabane avec une sorte de grille primitive qui fume.
0,Two people are sitting at an outdoor cafe in front of an old building.,Deux personnes sont assises dans un café extérieur devant un ancien bâtiment.
0,An old man in a black trench coat standing in a marketplace.,Un vieux homme en manteau de tranchée noir se tient sur un marché.
0,An elderly lady is laying on a grassy hill in front of the ocean,Une vieille femme se couche sur une colline herbacée devant l'océan
0,A group of protesters picket in the road.,Un groupe de manifestants se pique dans la route.
0,An Asian man poses in a martial arts pose in front of a natural lake setting.,Un homme asiatique pose dans une pose d'arts martiaux devant un lac naturel.
0,A lady getting ready to snap a photo.,Une femme se préparant à prendre une photo.
0,A donkey carrying a load of grass down a road.,Un âne transportant une charge d'herbe sur une route.
0,An Asian woman rows a boat loaded with supplies.,Une femme asiatique en rangée d'un bateau chargé de fournitures.
0,Rows of adults taking in a lecture in a classroom.,Des rangées d'adultes prenant part à une conférence dans une salle de classe.
0,One guy surfing the waves in the ocean.,Un gars survolant les vagues dans l'océan.
0,A large brown dog and a larger black dog playing together with a ball.,Un gros chien brun et un gros chien noir jouant ensemble avec une balle.
0,A man drinking a beverage and holding a plastic bag far away from the other people.,Un homme qui boire une boisson et qui porte un sac en plastique loin des autres.
0,A wrestler is being lifted off the ground by another wrestler.,Un combattant est soulevé du sol par un autre combattant.
0,A giant bee costume hugs a boy.,Un costume géant d'abeilles hugs un garçon.
0,The girl in plaid is helping the little girl feed an apple to a horse.,La fille en plaid aide la petite fille à nourrir un pommier à un cheval.
0,A girl in a bathing suit stands in front of a striped wall.,Une fille en combinaison de bain se tient devant un mur rayé.
0,A man in a heavy coat is walking up a stone staircase with a heavy duffel bag with police in the background.,Un homme en manteau lourd marche sur un escalier en pierre avec un lourd sac à dos et la police en arrière-plan.
0,A woman wearing a white shirt jumps in the air and sticks out her tongue.,Une femme portant une chemise blanche saute dans l'air et s'enfonce sur sa langue.
0,A man is kissing the forehead of a baby that is lying on a couch.,Un homme bat le front d'un bébé qui se couche sur un canapé.
0,White dog with orange collar walks in the field.,Le chien blanc avec collier orange se promène dans le champ.
0,A man with stubble on his face is holding a baby.,Un homme avec des étourdissements sur son visage tient un bébé.
0,"Young, hooded boy and girl huddle on steps outside large doors.",De jeunes garçons et filles à capuchon se rassemblent sur des marches à l'extérieur de grandes portes.
0,A worker with long curly hair examines the vegetables next to the broccoli.,Un travailleur à longs cheveux courbés examine les légumes à côté du brocoli.
0,A young girl pulling the tail of an alligator staue,Une jeune fille tirant la queue d'un alligator
0,A group of people loiter on a sidewalk near a lamp post.,Un groupe de personnes se déplaçant sur un trottoir près d'un poste de feu.
0,Man riding on a bike taxi on a crowded street.,Homme à bicyclette dans une rue surpeuplée.
0,A woman in a straw hat standing in front of a table covered in miscellaneous items.,Une femme portant un chapeau de paille devant une table recouverte d'objets divers.
0,Two people are looking at something in New York City.,Deux personnes examinent quelque chose à New York.
0,People are skating in a outdoor rink around a huge Christmas tree.,Les gens patinent dans une patinoire extérieure autour d'un immense arbre de Nol.
0,Woman laying in grass with a rugby ball on her head.,Femme couchée dans l'herbe avec une balle de rugby sur la tête.
0,Two motocross riders sit on the shoulder of the racetrack.,Deux pilotes de motocross sont assis sur l’épaule de la piste de course.
0,A brightly colored bus is stopped in traffic.,Un autobus de couleur éclatante est arrêté en circulation.
0,Kids being walked across a lot by an adult to a larger building.,Les enfants sont promenés par un adulte à travers un lot pour se rendre dans un immeuble plus grand.
0,Two children playing in the snow.,Deux enfants jouant dans la neige.
0,A man in a cowboy hat struggles to remain atop a bucking beige horse.,Un homme portant un chapeau de cow-boy s'efforce de rester au sommet d'un cheval beige.
0,Two men standing outside wearing jackets and caps.,Deux hommes à l'extérieur portant des gilets et des casquettes.
0,A man in a blue hat is standing next to a car with a shovel in the snow.,Un homme portant un chapeau bleu se tient à côté d'une voiture avec une pelle dans la neige.
0,A woman in black walks down the sidewalk.,Une femme noire marche sur le trottoir.
0,The girl is climbing an artificial climbing wall.,La fille grimpe un mur d'escalade artificiel.
0,Men dressed as Santa clause walking down the street.,Des hommes vêtus de Clause du Père Nol marchant dans la rue.
0,A large group of people are walking up a steep mountain with clouds hanging in the background.,Un grand groupe de personnes se promène sur une montagne abrupte avec des nuages en arrière-plan.
0,Four people with shaved heads and white robes praying.,Quatre personnes avec des têtes rasées et des peignoirs blancs se prient.
0,A baby dressed as an elephant standing on a bed held up by a woman dressed in a Dorothy costume.,Un bébé vêtu d'un éléphant debout sur un lit retenu par une femme vêtue d'un costume Dorothy.
0,"Man hunched on gray bench marked SAN DIEGO, neat blue trashcan.","Un homme à l'aise sur un banc gris marqué SAN DIEGO, une poubelle bleue."
0,A baby is sitting in a highchair in a restaurant laughing and squeezing Mickey Mouse' nose!,Un bébé est assis dans un fauteuil roulant dans un restaurant et rire et s'enfonce le nez de Mickey Mouse!
0,A woman and child are blowing on a candle in a cupcake.,Une femme et un enfant soufflent sur une bougie dans un gâteau.
0,A man on a city street in a Santa suit and wrestilng mask.,Un homme dans une rue de la ville en costume de Père Nol et masque.
0,A baby is crying and someone is holding him.,Un bébé pleure et quelqu'un le tient.
0,The man is going to take a picture from the open window.,L'homme va prendre une photo de la fenêtre ouverte.
0,"A lady wearing gloves, and a ponytail cooks something while people stand and watch.",Une femme portant des gants et un ponytail cuisine quelque chose tandis que les gens se tiennent debout et regardent.
0,There are people cooking under a tent and wearing big white chef hats.,Il y a des gens qui cuisinent sous une tente et portent de gros chapeaux blancs.
0,The two little girls jump on the bed.,Les deux petites filles sautent sur le lit.
0,Three men are playing rugby one of them is carrying the ball they are covered in mud.,"Trois hommes jouent au rugby, l'un d'entre eux transporte la balle et ils sont couverts de boue."
0,Little blond boy is falling onto a bed.,Petit garçon blond tombe sur un lit.
0,A dark brown dog runs behind a yellow dog in the grass.,Un chien brun foncé se déplace derrière un chien jaune dans l'herbe.
0,A muddy dog runs next to water.,Un chien boueux se promène à côté de l'eau.
0,A flock of birds fly up from the ground next to a building with a mural.,Un groupe d'oiseaux s'élève du sol à côté d'un édifice avec une murale.
0,An audience of children are smiling and pointing,Un auditoire d’enfants sourit et pointe
0,Two men are fighting with pretend swords in a Medieval Show.,Deux hommes se battent avec de prétendues épées dans un spectacle médiéval.
0,Boy and girl building metal structure.,Les garçons et les filles construisent une structure métallique.
0,A bunch of people at a train station.,Un groupe de personnes à une gare.
0,A lady and a man wear rain ponchos.,Une femme et un homme portent des ponchos de pluie.
0,A little boy is crying on a playground and a little is riding a toy bike.,Un petit garçon crie sur un terrain de jeux et un petit roule une bicyclette à jouets.
0,People are sitting at a green table set with placemats and green glasses.,Les gens sont assis à une table verte avec des placettes et des verres verts.
0,"A brass band, with many members wearing Santa Claus hats, is conducted by a man wearing a leather jacket while playing under a temporary bandshell.","Une bande de brasse, dont plusieurs membres portent des chapeaux de Père Nol, est dirigée par un homme portant une veste en cuir et joue sous une coque temporaire."
0,Little kids with their hands in the air,Petits enfants avec les mains en air
0,"A man in a tan jacket and blue jeans is sitting on a bench playing the guitar, with another man close-by.",Un homme portant une veste brune et des jeans bleus est assis sur un banc et joue la guitare avec un autre homme à proximité.
0,A man and woman sit on the rocky overlook.,Un homme et une femme sont assis sur la vue rocheuse.
0,A couple sits on a floral couch while an older woman in the background smiles.,Un couple est assis sur un canapé fleuri tandis qu'une femme âgée à l'arrière-plan sourit.
0,A brown dog steps into murky water.,Un chien brun marche dans l'eau murailleuse.
0,An older Asian man wearing an embroidered ski cap poses for a picture.,Un homme asiatique plus âgé portant un chapeau de ski brodé pose pour une photo.
0,A woman crouches on a sink while applying mascara.,Une femme se couche sur un évier en appliquant du mascara.
0,A man and young girl stand together looking at something with a small child nearby.,Un homme et une jeune fille se tiennent ensemble et regardent quelque chose avec un petit enfant à proximité.
0,The guys are playing a sport.,Les gars jouent un sport.
0,Two young woman dressed in white shirts sit in a small space.,Deux jeunes femmes vêtues de chemises blanches sont assises dans un petit espace.
0,Two little kids blowing bubbles on the stoop.,Deux petits enfants soufflent des bulles sur le pied.
0,The bald woman is standing smiling next to a frowning man.,La femme tachetée se tient debout à côté d'un homme souriant.
0,A man and a child at a store checkout counter.,Un homme et un enfant au comptoir d'enregistrement d'un magasin.
0,The brown dog runs on the snow with a white ball in his mouth.,Le chien brun se déplace sur la neige avec une balle blanche dans sa bouche.
0,Several people are gathered around a table in a warehouse.,Plusieurs personnes sont rassemblées autour d'une table dans un entrepôt.
0,A man helps tie a red ribbon around another man's right arm during a street parade.,Un homme aide à lier un ruban rouge autour du bras droit d'un autre homme au cours d'un défilé de rue.
0,Many people gather in front of the Lincoln Memorial.,De nombreuses personnes se rassemblent devant le monument commémoratif de Lincoln.
0,Two people's hands; one of them is doing the other's nails with an emery board.,Deux mains de deux personnes; l'une d'entre elles fait les clous de l'autre à l'aide d'une plaque d'émeraude.
0,A man in a hat plays a xylophone.,Un homme en chapeau joue un xylophone.
0,A group of young people lounging on the couch.,Un groupe de jeunes se reposant sur le canapé.
0,Young people out to dinner at a chinese restaurant,Des jeunes dînent dans un restaurant chinois
0,The brown dog stands in the water and shakes off.,Le chien brun se tient dans l'eau et se s'ébranle.
0,A man and a woman with feathers on her head dance.,Un homme et une femme avec des plumes sur la tête dansent.
0,A person on an ATV in dunes with a purple sky.,Une personne sur un VTT dans des dunes avec un ciel pourpre.
0,Two women pushing each other during a rollerskating competition.,Deux femmes se poussent mutuellement pendant une compétition de patinage à rouleaux.
0,A man in glasses sits with his head in his hand while at a table set for an Asian dinner.,Un homme en verre est assis avec sa tête à la main à une table pour un dîner asiatique.
0,A yellow car spins its rear wheel while a man in the backseat watches.,Une voiture jaune tourne sa roue arrière tandis qu'un homme en arrière surveille.
0,People await the arrival of an elevated train in the cold winter.,Les gens attendent l'arrivée d'un train élévateur en hiver froid.
0,Two Indian children having fun telling secrets to one another.,Deux enfants indiens ont du plaisir à raconter des secrets à l'autre.
0,A woman with braided hair is laughing with a man in a red shirt.,Une femme avec des cheveux tressés rire avec un homme en chemise rouge.
0,A black and white staffordshire terrier has his paw on large branch,Un terrier de staffordshire noir et blanc a sa patte sur une grosse branche
0,Two dogs are running through a field of grass.,Deux chiens roulent dans un champ d'herbes.
0,The boys and the old man are splitting wood to stack.,Les garçons et le vieux sont en train de séparer du bois pour le mettre en chemin.
0,A group of five men dressed in tan are in the middle of a very technical setting.,Un groupe de cinq hommes habillés en tan se trouve au milieu d'un environnement très technique.
0,A man plays an instrument next to a drummer.,Un homme joue un instrument à côté d'un tambour.
0,A lit food cart is parked on the street at dusk.,Un chariot éclairé est stationné dans la rue à la tombée du soleil.
0,A chef is preparing a meal in a professional kitchen.,Un chef prépare un repas dans une cuisine professionnelle.
0,"A male soccer player who is trying to kick the ball with his right leg, as the other player in the background tries to block his kick.","Un joueur de football de sexe masculin qui tente de lancer la balle avec sa jambe droite, alors que l'autre joueur à l'arrière-plan tente de bloquer son coup de pied."
0,A bobsled team runs through a snowy trail.,Une équipe de bobsleigh traverse un sentier enneigé.
0,An Asian peddler with a wide cone shaped hat with various fruits and vegetables for sale.,Un marchand asiatique avec un large chapeau en forme de cône avec divers fruits et légumes à vendre.
0,A street vendor is gathering bread and pretzels to sell.,Un vendeur de rue rassemble du pain et des pretzels à vendre.
0,Two young women pose and smile in a darkly lit area.,Deux jeunes femmes posent et sourient dans un endroit sombre.
0,One woman is taking a picture and another woman is standing sideways with her arm out.,"Une femme prend une photo et une autre se tient debout, le bras sorti."
0,A man with a mohawk is sweeping a skate park.,Un homme muni d'un mohawk balaie un parc de patins.
0,A man is standing at a machine.,Un homme se tient devant une machine.
0,Lots of people in a restaurant eating and talking.,Beaucoup de gens dans un restaurant mangent et parlent.
0,A woman looks over her merchandise in a marketplace.,Une femme regarde ses marchandises sur un marché.
0,A little child with a hat on lays on the grass amid a few scattered fallen leaves.,Un petit enfant portant un chapeau se couche sur l'herbe à l'intérieur de quelques feuilles éparpillées.
0,A little girl looking into a females face in the midst of a crowd.,Une petite fille regardant sur le visage d'une femelle au milieu d'une foule.
0,A man falling off of a surfboard in the ocean,Un homme tombant d'un plancher de surf dans l'océan
0,A woman looks at a plate filled with steam.,Une femme regarde une plaque remplie de vapeur.
0,"A man and a woman at a meal, with a dog between them.","Un homme et une femme au repas, avec un chien entre eux."
0,The woman in brightly colored clothing is dancing.,La femme en vêtu de couleurs vives danse.
0,A little dog is carrying a small twig in its mouth.,Un petit chien porte une petite rame dans sa bouche.
0,A little boy is playing with the Autumn leaves.,Un petit garçon joue avec les feuilles d'automne.
0,A lady and her daughter jump in a swimming pool.,Une femme et sa fille sautent dans une piscine.
0,Children playing in a pool.,Enfants jouant dans une piscine.
0,"Two dogs holding red balls in their mouth, running in the snow.","Deux chiens gardant des boules rouges dans leur bouche, en course dans la neige."
0,A woman in pink is holding a plate of food.,Une femme en rose tient une assiette de nourriture.
0,Young person holding a red and black fan in front of a martial arts class.,Jeune tenant un fan rouge et noir devant une classe d'arts martiaux.
0,A man uses Wood Silk to clean a hardwood floor.,Un homme utilise la soie de bois pour nettoyer un plancher feuillu.
0,A group of men in formal attire talking in a group,Un groupe d'hommes en tenue officielle parlant en groupe
0,"A woman is sitting, reading a book on the subway.",Une femme est assise et lit un livre dans le métro.
0,A dog takes a nap in the middle of a busy alley.,Un chien se couche au milieu d'une allée achalandée.
0,A woman is eating fish at a restaurant.,Une femme mange du poisson dans un restaurant.
0,A man and a woman pose for the camera with pursed lips.,Un homme et une femme posent devant la caméra avec des lèvres écouvrées.
0,The man is shooting video of another writing on a pole.,L'homme filme une vidéo d'une autre écriture sur un mât.
0,A woman wearing a burgundy sleeveless top and blue shorts climbing steps to bleacher,Une femme portant un dessus sans manches en burgundy et des shorts bleus grimpant les marches jusqu'au blanchisserie
0,Two rickshaw operators waiting for a fare with traffic in the background.,Deux chauffeurs de rickshaw en attente d'un tarif et la circulation en arrière-plan.
0,A snowboarder is performing a stunt in mostly dark.,Un snowboardeur exécute un stunt dans la plupart des feux noirs.
0,"Four young men in a room, working on some tasks.",Quatre jeunes hommes dans une pièce travaillant sur certaines tâches.
0,A waiter dressed in business attire holds up a pan filled with meat laden with sauce and garnished with lemon.,Un serveur vêtu d'un vêtement d'affaires tient une casserole remplie de viande chargée de sauce et garnie de citron.
0,A biker makes a jump across from a city beach.,Un motocycliste saute à la sortie d'une plage de ville.
0,A man and a woman are smiling.,Un homme et une femme sourient.
0,"Two men look toward the camera, while the one in front points his index finger.","Deux hommes regardent vers la caméra, tandis que celui qui est en avant pointe son index."
0,A man wearing no shirt stands on a stage with fire in the background.,Un homme ne portant pas de chemise se tient sur une scène avec le feu en arrière-plan.
0,A man wearing a vest and pants walks across stage at a concert.,Un homme portant un gilet et des pantalons traverse la scène à un concert.
0,This individual in a white lab suit is studying some sort of translucent scan.,Cette personne en tenue de laboratoire blanche étudie une sorte de balayage translucide.
0,Two people are walking two golden dogs in the snow.,Deux personnes marchent deux chiens dorés dans la neige.
0,Woman squatting over a bag filled with some sort of round green vegetable.,Une femme squattant au-dessus d'un sac rempli d'une sorte de légumes verts ronds.
0,People and shrubs are silhouetted against an indigo sky.,Les gens et les arbustes sont silhouettes contre un ciel indigo.
0,An elderly man sleeping in a outdoor chair while another woman sits next to him.,Un homme âgé dormant dans un fauteuil extérieur tandis qu'une autre femme s'assise à côté de lui.
0,Old woman with lots of ornate clothing and jewelry.,Vieille femme avec beaucoup de vêtements et de bijoux ornés.
0,A man is riding his dirt bike through the air in the desert.,Un homme roule sa bicyclette en plein air dans le désert.
0,Kid in a striped shirt holding a guitar.,Enfant dans une chemise rayée et tenant une guitare.
0,A little boy and a little girl are playing outside with bubbles.,Un petit garçon et une petite fille jouent à l'extérieur avec des bulles.
0,Three men are standing in a forest.,Trois hommes se trouvent dans une forêt.
0,A lady in black shirt with a red ribbon and purple skirt at a victory party,Une femme en chemise noire avec un ruban rouge et une jupe pourpre à une fête de la victoire
0,A man in jeans is riding an ATV over sand.,Un homme en jeans roule un VTT sur le sable.
0,A woman in a red jacket holding a baby in a red jacket next to a bike.,Une femme en veste rouge tenant un bébé en veste rouge près d'une bicyclette.
0,Two young woman hug and pose together for a picture.,Deux jeunes femmes s'embrassent et posent ensemble pour une photo.
0,A little black dog wearing a red collar is in the leaves with a blue ball.,Un petit chien noir portant un collier rouge se trouve dans les feuilles avec une boule bleue.
0,Newborn laying in bed slightly covered up with a blanket.,Nouveau-né couché dans le lit légèrement recouvert d'une couverture.
0,Three firemen holding onto ropes from above.,Trois pompiers tenant des cordes de l'en haut.
0,A man walking around in a field doing who knows what.,Un homme qui marche dans un champ et qui sait quoi.
0,The two dogs in the snow have a red leash.,Les deux chiens enneigés ont une laisse rouge.
0,Two children play with a white dog.,Deux enfants jouent avec un chien blanc.
0,A little black dog chases another little black dog through thick snow.,Un petit chien noir chasse un autre petit chien noir à travers une épaisse neige.
0,A group of people are backpacking through a grassy field.,Un groupe de personnes s'aventurent dans un champ herbeux.
0,A black dog and a brown dog touching noses in a grassy field.,Un chien noir et un chien brun touchent le nez dans un champ herbeux.
0,A man dressed in black rides a green bike.,Un homme vêtu de noir roule une bicyclette verte.
0,A snowboarder in bright green performing a jump at a competition.,Un snowboardeur en vert vif exécutant un saut lors d'une compétition.
0,A little dog running on sand.,Un petit chien roulant sur le sable.
0,"An Asian woman is standing behind glass shelves with bread on them, outside.","Une femme asiatique est debout derrière des étagères en verre sur lesquelles se trouve du pain, à l'extérieur."
0,Deer and turkeys stand on snow covered ground.,Des cerfs et des dindons se trouvent sur des terrains couverts de neige.
0,A little blond-haired girl enjoys eating a peach.,Une petite fille à cheveux blonds aime manger une pêche.
0,A child in a red short enjoying some arts and crafts.,Un enfant en short rouge à l'aise avec des objets d'art et d'artisanat.
0,Lots of people standing on a platform in front of a train.,Beaucoup de gens debout sur une plate-forme devant un train.
0,A boy wearing blue mittens gets ready to throw snow.,Un garçon portant des mites bleues se prépare à jeter de la neige.
0,A little boy wearing shorts and a jacket is pulling a red wagon with a pumpkin in it.,Un petit garçon portant des shorts et une veste tire un chariot rouge contenant une citrouille.
0,Three people stand in front of a store window and smile.,Trois personnes se tiennent devant une vitrine du magasin et sourient.
0,Man does a skateboard trick on green barrel.,L'homme fait un truc de planche à roulettes sur le baril vert.
0,A person speed skating,Une personne faisant du patinage à vitesse
0,A crowd awaits for a train as it enters the station,Une foule attend un train à l'entrée de la gare
0,A soccer team is holding up one player in victory.,Une équipe de football tient un joueur à l'épreuve en remportant la victoire.
0,A woman in a green shirt and khaki pants is attempting to hit the golf ball into the hole.,Une femme en chemise verte et pantalons khaki tente de frapper la balle de golf dans le trou.
0,"Child on couch, holding red cloth with white fur.","Enfant sur canapé, tenant un tissu rouge et une fourrure blanche."
0,A man with a Santa Claus outfit stopped by two police officers.,Un homme en costume de Père Nol arrêté par deux policiers.
0,A toddler is intrigued by a toy lego set in a bookstore.,Un tout-petit est intrigué par un jeu de légo dans une librairie.
0,A dark-haired boy smiles while laying next to two other kids.,Un garçon à cheveux foncés sourit alors qu'il se couche à côté de deux autres enfants.
0,Young boy with blond-hair swipes at bubbles in the air.,Jeune garçon à cheveux blonds s'attaque aux bulles dans l'air.
0,An older white woman makes cupcakes in her kitchen.,Une femme blanche plus âgée fait des gâteaux à gâteaux dans sa cuisine.
0,A boy is winding up to send down a bowling ball.,Un garçon se termine pour lancer un ballon de bowling.
0,The child is shoveling deep white snow near the house.,L'enfant pelle la neige blanche profonde près de la maison.
0,A surfer catches a large wave.,Un surfer capte une grande vague.
0,Two basketball players reaching for a ball.,Deux joueurs de basket-ball s'approchent d'une balle.
0,A man with a red hat is playing the drums.,Un homme portant un chapeau rouge joue les tambours.
0,A man with a basketball blocks an attempt to take his ball.,Un homme avec un basket-ball bloque une tentative de prendre sa balle.
0,A Miami basketball player with basketball in right hand on court.,Un joueur de basket-ball de Miami avec le basket-ball en main droite sur le court.
0,A man in just his underwear jumping on a man surrounded by a crowd of people.,Un homme en simples sous-vêtements saute sur un homme entouré d'une foule de gens.
0,A man is holding a fishing rod and fishing at sunset.,Un homme tient une tige de pêche et pêche au coucher du soleil.
0,"A man in a green hat, green shirt, brown pants and colorful apron is flipping a huge pancake.","Un homme portant un chapeau vert, une chemise vert, des pantalons bruns et un apron coloré tourne une énorme crêpe."
0,A man in a wetsuit surfing.,Un homme en combinaison wet surf.
0,"Two guys are out on a cold walk during Christmas season, perhaps for caroling.","Deux gars sont en marche froide durant la saison de Nol, peut-être pour le caroling."
0,A young woman and two men drink beer in a bar.,Une jeune femme et deux hommes boivent de la bière dans un bar.
0,"While one ball player watches helplessly, another jumps and shoots the ball toward the basket.","Alors qu'un joueur de balle regarde impuissantement, un autre saute et tire la balle vers le panier."
0,A basketball player is about to make a lay-up.,Un joueur de basket-ball est sur le point de faire une mise à pied.
0,A young child in baggy blue pants is running away from the fire in the background.,Un jeune enfant en pantalons bleus et baggy s’éloigne du feu à l’arrière-plan.
0,Players on a soccer field performing for the crowd.,Des joueurs sur un terrain de soccer jouant pour la foule.
0,Little kids stand together and receive an award for something.,Les petits enfants se rassemblent et reçoivent un prix pour quelque chose.
0,Two white dogs with brown markings playing.,Deux chiens blancs avec des marques brunes jouant.
0,A child in red and black winter clothes hiding behind a snow fort.,Un enfant portant des vêtements d'hiver rouges et noirs se cache derrière un fort de neige.
0,A young girl with brown hair is playing checkers.,Une jeune fille à cheveux bruns joue à la balayage.
0,A woman cleans her foot in the kitchen next to a man in a white shirt.,Une femme nettoye son pied dans la cuisine à côté d'un homme en chemise blanche.
0,A lifeguard sitting on the railing and watching the water.,Un sauveteur assis sur la barrière et surveillant l’eau.
0,Man in a purple shirt holding a video camera on a woman sitting in the street.,Homme en chemise pourpre et tenant une caméra vidéo sur une femme assise dans la rue.
0,A man asleep on a plane in a dark photo.,Un homme dormant sur un avion dans une photo sombre.
0,A little boy in a purple jacket is buckled into his car seat.,Un petit garçon en veste pourpre est bouclé dans son siège de voiture.
0,Two boys on a boat riding though the water.,Deux garçons en bateau naviguant dans l'eau.
0,A dog running with a stick in the snow.,Un chien courant avec un bâton dans la neige.
0,A tan dog chewing on a dog treat.,Un chien bronzé mûrissant sur un bonbon de chien.
0,Four children hold hands and jump into a pool.,Quatre enfants tiennent les mains et sautent dans un bassin.
0,Four children keeping warm under a blanket.,Quatre enfants se réchauffant sous une couverture.
0,A man dressed in a Santa suit is climbing up a large concrete building.,Un homme vêtu d'un vêtement de Père Nol grimpe sur un grand bâtiment en béton.
0,A black man with black hair laughing.,Un homme noir avec des cheveux noirs rire.
0,A man in a tan coat holding an infant and a young girl sitting on a brown couch.,Un homme en manteau brun tenant un bébé et une jeune fille assise sur un canapé brun.
0,A street filled with cars and people in a city.,Une rue remplie de voitures et de gens dans une ville.
0,A woman carrying plastic bags walks down a scenic path.,Une femme transportant des sacs en plastique se promène sur un sentier pittoresque.
0,A person is standing by some stairs in colorful clothes and goggles.,Une personne se tient à côté d'une escalier dans des vêtements colorés et des lunettes.
0,Two black dogs running in snow with toys in their mouths.,Deux chiens noirs courant dans la neige avec des jouets dans leur bouche.
0,A bird dives for some food.,Un oiseau plonge pour se nourrir.
0,The two children and the baby with the pink shirt are surrounded by toys.,Les deux enfants et le bébé avec la chemise rose sont entourés de jouets.
0,Diners at a restaurant are served by a waiter.,Les dîners d'un restaurant sont servis par un serveur.
0,A bare chested man with swimming goggles on his head with a group of swimmers behind him.,Un homme à poitrine nue avec des lunettes de natation sur sa tête et un groupe de nageurs derrière lui.
0,Swimmers gather for practice at a pool with swimming lanes.,Les nageurs se rassemblent pour s'entraîner dans une piscine avec des voies de nage.
0,A man in a blue shirt taking a break and sitting down.,Un homme en chemise bleue en pause et assis.
0,Two white dogs running with each other.,Deux chiens blancs en course l'un avec l'autre.
0,A man and two women having a conversation on a lawn.,Un homme et deux femmes discutent sur une pelouse.
0,People in winter hats are standing in a subway together.,Des gens en chapeaux d'hiver se trouvent ensemble dans un métro.
0,A girl in a bright pink outfit prepares for a race.,Une fille en tenue rose éclatante se prépare à une course.
0,"Waterskier holding line, mid-jump and almost turned upside down.","La ligne de retenue du skieur, au milieu du saut et presque tourné vers le bas."
0,A man is sitting on a couch holding a baby while surrounded by children.,Un homme est assis sur un canapé et tient un bébé alors qu'il est entouré d'enfants.
0,Two cold people stand near a pole.,Deux personnes froides se trouvent près d'un poteau.
0,A man selling produce on the street.,Un homme vendant des produits dans la rue.
0,A man in a red jacket is standing at the top of the stadium steps.,Un homme en veste rouge se trouve au sommet des marches du stade.
0,A young boy is posing with incredible hulk gloves on.,Un jeune garçon pose avec des gants hulks incroyables.
